_id,AC No,AC Name,Sl no,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Vote Share (%)
4110,261,PATAN,8,YADAV SANTOSH RAGHUNATH,Independent,1296,3,1299,0.56
4111,261,PATAN,9,VIJAY JAYSING PATANKAR,Independent,347,4,351,0.15
4112,261,PATAN,10,SATYAJIT VIKRAMSINH PATANKAR,Independent,90009,926,90935,39.28
4113,261,PATAN,11,SURAJ UTTAM PATANKAR,Independent,549,5,554,0.24
4114,261,PATAN,12,NOTA,None of the Above,1328,11,1339,0.58
4115,262,SATARA,1,AMIT GENUJI KADAM,Shiv Sena (Uddhav Balasaheb Thackeray),34242,483,34725,15.78
4116,262,SATARA,2,MILIND VAMAN KAMBLE,Bahujan Samaj Party,1144,17,1161,0.53
4117,262,SATARA,3,SHIVENDRARAJE ABHAYSINHRAJE BHONSLE,Bharatiya Janata Party,175062,1787,176849,80.36
4118,262,SATARA,4,BABAN GANPAT KARDE,Vanchit Bahujan  Aaghadi,2745,27,2772,1.26
4119,262,SATARA,5,SHIVAJI BHAGWAN MANE,Rashtriya Samaj Paksha,600,6,606,0.28
4120,262,SATARA,6,DR. ABHIJEET VAMANRAO AVADE-BICHUKALE,Independent,517,12,529,0.24
4121,262,SATARA,7,GANESH BALASAHEB JAGTAP,Independent,501,3,504,0.23
4122,262,SATARA,8,PATIL KRISHNA BHAURAO,Independent,514,2,516,0.23
4123,262,SATARA,9,NOTA,None of the Above,2375,44,2419,1.1
4124,263,DAPOLI,1,ABGUL SANTOSH SONU,Maharashtra Navnirman sena,4894,66,4960,2.52
4125,263,DAPOLI,2,KADAM YOGESHDADA RAMDAS,Shiv Sena,103859,1148,105007,53.32
4126,263,DAPOLI,3,KADAM SANJAY VASANT,Shiv Sena (Uddhav Balasaheb Thackeray),79944,970,80914,41.09
4127,263,DAPOLI,4,MARCHANDE PRAVIN SAHADEV,Bahujan Samaj Party,1794,22,1816,0.92
4128,263,DAPOLI,5,KADAM YOGESH RAMDAS,Independent,350,5,355,0.18
4129,263,DAPOLI,6,KADAM YOGESH VITTHAL,Independent,149,5,154,0.08
4130,263,DAPOLI,7,KADAM SANJAY SITARAM,Independent,706,7,713,0.36
4131,263,DAPOLI,8,KADAM SANJAY SAMBHAJI,Independent,942,5,947,0.48
4132,263,DAPOLI,9,KHAMBE DNYANDEV RAMCHANDRA,Independent,949,7,956,0.49
4133,263,DAPOLI,10,NOTA,None of the Above,1110,7,1117,0.57
4134,264,GUHAGAR,1,GANDHI PRAMOD SITARAM,Maharashtra Navnirman sena,6652,60,6712,4.43
4135,264,GUHAGAR,2,JADHAV BHASKAR BHAURAO,Shiv Sena (Uddhav Balasaheb Thackeray),70430,811,71241,47.03
4136,264,GUHAGAR,3,BENDAL RAJESH RAMCHANDRA,Shiv Sena,67838,573,68411,45.16
4137,264,GUHAGAR,4,PRAMOD PARSHURAM AMBRE,Rashtriya Samaj Paksha,955,10,965,0.64
4138,264,GUHAGAR,5,FADKALE SANDEEP HARI,Independent,421,12,433,0.29
4139,264,GUHAGAR,6,MOHAN RAMCHANDRA PAWAR,Independent,759,8,767,0.51
4140,264,GUHAGAR,7,SUNIL SAKHARAM JADHAV,Independent,1730,31,1761,1.16
4141,264,GUHAGAR,8,NOTA,None of the Above,1172,25,1197,0.79
4142,265,CHIPLUN,1,PRASHANT BABAN YADAV,Nationalist Congress Party- Sharadchandra Pawar,88826,862,89688,46.58
4143,265,CHIPLUN,2,SHEKHAR GOVINDRAO NIKAM,Nationalist Congress Party,95548,1007,96555,50.15
4144,265,CHIPLUN,3,ANAGHA RAJESH KANGANE,Independent,920,17,937,0.49
4145,265,CHIPLUN,4,PRASHANT BHAGWAN YADAV,Independent,1033,18,1051,0.55
4146,265,CHIPLUN,5,MAHENDRA JAYRAM PAWAR,Independent,358,10,368,0.19
4147,265,CHIPLUN,6,SHEKHAR GANGARAM NIKAM,Independent,1602,11,1613,0.84
4148,265,CHIPLUN,7,NOTA,None of the Above,2305,15,2320,1.2
4149,266,RATNAGIRI,1,UDAY RAVINDRA SAMANT,Shiv Sena,110327,1008,111335,59.35
4150,266,RATNAGIRI,2,BAL MANE,Shiv Sena (Uddhav Balasaheb Thackeray),68854,891,69745,37.18
4151,266,RATNAGIRI,3,BHARAT SITARAM PAWAR,Bahujan Samaj Party,972,30,1002,0.53
4152,266,RATNAGIRI,4,KAIS NOORMAHAMAD PHANSOPKAR,Independent,306,3,309,0.16
4153,266,RATNAGIRI,5,KOMAL KISHOR TODANKAR,Independent,188,6,194,0.1
4154,266,RATNAGIRI,6,JYOTIPRABHA PRABHAKAR PATIL,Independent,1043,18,1061,0.57
4155,266,RATNAGIRI,7,DILIP KASHINATH YADAV,Independent,275,5,280,0.15
4156,266,RATNAGIRI,8,PANKAJ PRATAP TODANKAR,Independent,599,4,603,0.32
4157,266,RATNAGIRI,9,NOTA,None of the Above,3029,44,3073,1.64
4158,267,RAJAPUR,1,KIRAN ALIAS BHAIYYA SAMANT,Shiv Sena,79559,697,80256,51.91
4159,267,RAJAPUR,2,JADHAV SANDEEP VISHRAM,Bahujan Samaj Party,1045,20,1065,0.69
4160,267,RAJAPUR,3,RAJAN PRABHAKAR SALVI,Shiv Sena (Uddhav Balasaheb Thackeray),59831,748,60579,39.18
4161,267,RAJAPUR,4,AMRUT TAMBADE (DADA),Independent,1197,7,1204,0.78
4162,267,RAJAPUR,5,AVINASH SHANTARAM LAD,Independent,7834,111,7945,5.14
4163,267,RAJAPUR,6,YASHWANT RAMCHANDRA HARYAN,Independent,281,5,286,0.18
4164,267,RAJAPUR,7,RAJENDRA RAVINDRANATH SALVI,Independent,1071,3,1074,0.69
4165,267,RAJAPUR,8,SANJAY ATMARAM YADAV ALIAS YADAVRAO,Independent,362,10,372,0.24
4166,267,RAJAPUR,9,NOTA,None of the Above,1818,16,1834,1.19
4167,268,KANKAVLI,1,CHANDRAKANT ABAJI JADHAV,Bahujan Samaj Party,878,9,887,0.54
4168,268,KANKAVLI,2,NITESH NARAYAN RANE,Bharatiya Janata Party,107174,1195,108369,66.43
4169,268,KANKAVLI,3,SANDESH BHASKAR PARKAR,Shiv Sena (Uddhav Balasaheb Thackeray),49573,789,50362,30.87
4170,268,KANKAVLI,4,GANESH ARVIND MANE,Independent,1138,6,1144,0.7
4171,268,KANKAVLI,5,NAWAZ ALIAS BANDU KHANI,Independent,448,7,455,0.28
4172,268,KANKAVLI,6,SANDESH SUDAM PARKAR,Independent,890,11,901,0.55
