_id,AC No,AC Name,Sl no,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Vote Share (%)
694,44,ARVI,18,SUNIL RAMDASJI DESHMUKH,Independent,582,0,582,0.3
695,44,ARVI,19,NOTA,None of the Above,1024,11,1035,0.54
696,45,DEOLI,1,UMESH MAHADEORAO MHAISKAR,Bahujan Samaj Party,4467,35,4502,2.36
697,45,DEOLI,2,RAJESH BHAURAO BAKANE,Bharatiya Janata Party,89744,575,90319,47.31
698,45,DEOLI,3,RANJIT PRATAPRAO KAMBLE,Indian National Congress,80229,782,81011,42.43
699,45,DEOLI,4,ASHWINI GOVIND SHIRPURKAR,Rashtriya Samaj Paksha,933,8,941,0.49
700,45,DEOLI,5,ANKUSH VIJAYRAO KOCHE,Aazad Samaj Party (Kanshi Ram),1203,12,1215,0.64
701,45,DEOLI,6,KUNDAN CHOKHA JAMBHULKAR,Vanchit Bahujan  Aaghadi,3898,49,3947,2.07
702,45,DEOLI,7,CHETAN RATANLAL SAHU,Sardar Vallabhbhai Patel Party,119,3,122,0.06
703,45,DEOLI,8,NILESH SUBHASHRAO MASRAM,Gondvana Gantantra Party,604,2,606,0.32
704,45,DEOLI,9,SATISH JYOTIRAM INGALE,Republican Party of India (A),170,0,170,0.09
705,45,DEOLI,10,ATUL RAMESHRAO DIVE,Independent,176,4,180,0.09
706,45,DEOLI,11,KIRAN ARUNRAO THAKRE,Independent,5876,51,5927,3.1
707,45,DEOLI,12,DAHARE MADHURI ARUNRAO,Independent,214,1,215,0.11
708,45,DEOLI,13,BAKANE PANKAJ KRUSHNARAO,Independent,378,1,379,0.2
709,45,DEOLI,14,HARSHPAL ARUN MENDHE,Independent,517,7,524,0.27
710,45,DEOLI,15,NOTA,None of the Above,835,15,850,0.45
711,46,HINGANGHAT,1,ATUL NAMDEVRAO WANDILE,Nationalist Congress Party- Sharadchandra Pawar,83301,1183,84484,39.62
712,46,HINGANGHAT,2,PRALAY BHAURAO TELANG,Bahujan Samaj Party,2313,49,2362,1.11
713,46,HINGANGHAT,3,SATISH LAXMANRAO CHAUDHARI,Maharashtra Navnirman sena,616,11,627,0.29
714,46,HINGANGHAT,4,SAMIR TRYAMBAKRAO KUNAWAR,Bharatiya Janata Party,113613,965,114578,53.74
715,46,HINGANGHAT,5,ASHWIN TAWADE,Vanchit Bahujan  Aaghadi,2820,45,2865,1.34
716,46,HINGANGHAT,6,VINOD JHAMAJI UIKE,Gondvana Gantantra Party,798,4,802,0.38
717,46,HINGANGHAT,7,DR. UMESH SOMAJI WAWARE,Independent,1609,10,1619,0.76
718,46,HINGANGHAT,8,MUKESH KAMLAKAR DHOTE,Independent,256,0,256,0.12
719,46,HINGANGHAT,9,MANGALA VINOD THAK,Independent,311,1,312,0.15
720,46,HINGANGHAT,10,RAJU ALIAS MOHAN WASUDEO TIMANDE,Independent,2204,47,2251,1.06
721,46,HINGANGHAT,11,VARSHA DEVENDRA KANNAKE,Independent,218,5,223,0.1
722,46,HINGANGHAT,12,VITTHAL RAJARAM GULGHANE,Independent,733,3,736,0.35
723,46,HINGANGHAT,13,NOTA,None of the Above,2082,18,2100,0.98
724,47,WARDHA,1,DR.  PANKAJ RAJESH BHOYAR,Bharatiya Janata Party,90745,1322,92067,46.65
725,47,WARDHA,2,VISHAL SHARAD RAMTEKE,Bahujan Samaj Party,5030,136,5166,2.62
726,47,WARDHA,3,SHEKHAR PRAMOD SHENDE,Indian National Congress,82783,1814,84597,42.86
727,47,WARDHA,4,CHANDRASHEKHAR KASHINATH MADAVI,Gondvana Gantantra Party,855,14,869,0.44
728,47,WARDHA,5,NAGSEN ESHAVAR WANKAR,Republican Party of India (A),108,2,110,0.06
729,47,WARDHA,6,KISHOR BABA PAWAR,Independent,112,1,113,0.06
730,47,WARDHA,7,KOTAMBKAR RAVINDRA NARHARI,Independent,1538,18,1556,0.79
731,47,WARDHA,8,NIKHIL VASANTRAO SATPUTE,Independent,331,5,336,0.17
732,47,WARDHA,9,PAWADE SACHIN SURESHRAO,Independent,8334,394,8728,4.42
733,47,WARDHA,10,PANKAJ KRUSHNARAO BAKANE,Independent,179,12,191,0.1
734,47,WARDHA,11,RAVINDRA NARAYAN DEKATE,Independent,98,4,102,0.05
735,47,WARDHA,12,VICKY MAHENDRA SAWAI,Independent,155,2,157,0.08
736,47,WARDHA,13,VILAS DADARAO KAMBLE,Independent,773,18,791,0.4
737,47,WARDHA,14,SHARAD RADHESHYAMJI SARAF,Independent,306,1,307,0.16
738,47,WARDHA,15,SACHIN SHANKARRAO SHRAMAN,Independent,161,2,163,0.08
739,47,WARDHA,16,SMITA PRAFULL NAGARALE,Independent,616,2,618,0.31
740,47,WARDHA,17,NOTA,None of the Above,1460,43,1503,0.76
741,48,KATOL,1,ANIL SHANKARRAO DESHMUKH,Nationalist Congress Party,1043,23,1066,0.54
742,48,KATOL,2,CHARANSING BABULALJI THAKUR,Bharatiya Janata Party,103479,859,104338,52.44
743,48,KATOL,3,DESHMUKH SALIL ANILBABU,Nationalist Congress Party- Sharadchandra Pawar,64532,990,65522,32.93
744,48,KATOL,4,SAGAR ARUN DUDHANE,Maharashtra Navnirman sena,1219,13,1232,0.62
745,48,KATOL,5,ANIRUDDHA ROSHAN PATIL,Right to Recall Party,199,2,201,0.1
746,48,KATOL,6,UMESH RAJU KHADASE,Rashtra Samarpan Party,269,0,269,0.14
747,48,KATOL,7,NITIN CHANDRABHAN BAGDE,Republican Paksha (Khoripa),84,6,90,0.05
748,48,KATOL,8,YOGESH DNYANESHWAR NARNAWARE,Bhim Sena,229,1,230,0.12
749,48,KATOL,9,RAHUL VIRENDRABABU DESHMUKH,Peasants And Workers Party of India,6107,75,6182,3.11
750,48,KATOL,10,VIVEK RAMCHANDRA GAYAKWAD,Vanchit Bahujan  Aaghadi,1965,18,1983,1
751,48,KATOL,11,DR. SUNILBHAU VISHVANATHJI NARNAWARE,Republican Party of India (Khobragade),106,4,110,0.06
752,48,KATOL,12,SANDIP MORESHWAR LOKHANDE,Rashtriya Samaj Paksha,163,2,165,0.08
753,48,KATOL,13,DHANANJAY SHRAVANJI SHENDE,Independent,285,0,285,0.14
754,48,KATOL,14,PAVAN PRAKASH RAUT,Independent,1128,0,1128,0.57
755,48,KATOL,15,YAJNAVALKYA SHRIKANT JICHKAR,Independent,13756,166,13922,7
756,48,KATOL,16,LILADHAR MAROTRAO KUDE,Independent,422,0,422,0.21
757,48,KATOL,17,SIDDHARTH MORESHWARRAO DHOKE,Independent,291,1,292,0.15
758,48,KATOL,18,NOTA,None of the Above,1524,19,1543,0.78
759,49,SAVNER,1,ANUJA SUNIL KEDAR,Indian National Congress,92384,940,93324,41.78
760,49,SAVNER,2,DR ASHISHRAO DESHMUKH,Bharatiya Janata Party,118906,819,119725,53.6
761,49,SAVNER,3,TARABAI BABULALJI GAURAKAR,Bahujan Samaj Party,2239,24,2263,1.01
762,49,SAVNER,4,NIKHADE GHANASHYAM DAULATRAO,Maharashtra Navnirman sena,215,4,219,0.1
763,49,SAVNER,5,AJAY KUNDALIK SAHARE,Vanchit Bahujan  Aaghadi,2126,26,2152,0.96
764,49,SAVNER,6,ASHOK BAPURAO NANWATKAR,Bhim Sena,76,4,80,0.04
765,49,SAVNER,7,DR PRANAY SUBHASH CHANDEKAR,Prahar Janshakti Party,154,7,161,0.07
766,49,SAVNER,8,ADV. PRADIP SHALIKRAM SOMKUWAR,Bharatiya Yuva Jan Ekta Party,103,0,103,0.05
767,49,SAVNER,9,BHIMRAO RAGHUNATH DONGRE,Republican Party of India (A),153,1,154,0.07
768,49,SAVNER,10,BHOJRAJ JAGANNATH BHUTE,Rashtra Samarpan Party,77,0,77,0.03
769,49,SAVNER,11,RAJESH SHRIRAM SHRIKHANDE,Janhit Lokshahi Party,117,3,120,0.05
770,49,SAVNER,12,SANJAY MOTIRAMJI MONDHORIYA,Apni Prajahit Party,96,0,96,0.04
771,49,SAVNER,13,ANIL NARAYAN BODKHE,Independent,345,10,355,0.16
772,49,SAVNER,14,DR.AMOL RANJEET DESHMUKH,Independent,564,3,567,0.25
773,49,SAVNER,15,ASHISH DESHMUKH,Independent,732,3,735,0.33
774,49,SAVNER,16,KADU DIWAKAR VASANTA,Independent,815,0,815,0.36
775,49,SAVNER,17,GAJANAN MADHUKAR BHINGARE,Independent,758,0,758,0.34
776,49,SAVNER,18,GHATODE PANKAJ MANOHARRAO,Independent,1031,6,1037,0.46
777,49,SAVNER,19,NOTA,None of the Above,603,30,633,0.28
778,50,HINGNA,1,DEVABHAU ALIAS DR.DEVENDRA RAMKRUSHNA KAIKADE,Bahujan Samaj Party,7430,67,7497,2.76
779,50,HINGNA,2,BIJARAM RAJARAM KINKAR,Maharashtra Navnirman sena,1112,10,1122,0.41
780,50,HINGNA,3,RAMESHCHANDRA GOPIKISAN BANG,Nationalist Congress Party- Sharadchandra Pawar,80622,653,81275,29.93
781,50,HINGNA,4,SAMEER DATTATRAYA MEGHE,Bharatiya Janata Party,159149,1057,160206,59
782,50,HINGNA,5,ANIRUDHAH VITTHAL SHEVALE,Vanchit Bahujan  Aaghadi,8104,60,8164,3.01
783,50,HINGNA,6,NARENDRA KRUSHNAJI DHONE,Aazad Samaj Party (Kanshi Ram),593,2,595,0.22
784,50,HINGNA,7,ADV. NASEEM TAUKIR ALAM,Peoples Party of India (Democratic),406,5,411,0.15
785,50,HINGNA,8,MADHURI VIJENDRA RAJPUT,Socialist Unity Centre Of India (COMMUNIST),711,0,711,0.26
786,50,HINGNA,9,RAJENDRA DEVIDAS MAHALLE,Jay Vidarbha Party,215,1,216,0.08
787,50,HINGNA,10,SHEKH PARWEJ IRNUSABHAI,Republican Party of India (A),267,0,267,0.1
788,50,HINGNA,11,SARIPUTRA SURESH WANKHADE,Bhim Sena,231,6,237,0.09
789,50,HINGNA,12,DR. ASHISH SHANKARRAO SOMANKAR,Independent,659,9,668,0.25
790,50,HINGNA,13,DERKAR TUSHAR PRADEEP,Independent,5349,12,5361,1.97
791,50,HINGNA,14,NITESH PRALHAD KHADSE,Independent,695,4,699,0.26
792,50,HINGNA,15,PANKAJ GOVARDHANRAO THAKARE,Independent,1253,9,1262,0.46
793,50,HINGNA,16,SALIM TURAB SHEKH,Independent,565,1,566,0.21
794,50,HINGNA,17,SUDHAKAR TARACHAND WAKADE,Independent,261,0,261,0.1
795,50,HINGNA,18,SANGITA SHANKAR HADKE,Independent,123,0,123,0.05
796,50,HINGNA,19,NOTA,None of the Above,1854,22,1876,0.69
797,51,UMRED,1,BHIMRAO SURYABHAN GAJBHIYE,Bahujan Samaj Party,3356,23,3379,1.57
798,51,UMRED,2,SHEKHAR GANPAT DUNDE,Maharashtra Navnirman sena,418,3,421,0.2
799,51,UMRED,3,SUDHIR LAXMAN PARWE,Bharatiya Janata Party,71972,575,72547,33.6
800,51,UMRED,4,SANJAY NARAYANRAO MESHRAM,Indian National Congress,84437,935,85372,39.54
801,51,UMRED,5,SAPNA RAJENDRA MESHRAM,Vanchit Bahujan  Aaghadi,1838,16,1854,0.86
802,51,UMRED,6,SANJAY VASANT BORKAR,Rashtriya Samaj Paksha,239,1,240,0.11
803,51,UMRED,7,GANVIR MANSARAM WANKHEDE,Independent,307,3,310,0.14
804,51,UMRED,8,GHARDE PRAMOD DEORAO,Independent,48978,284,49262,22.82
805,51,UMRED,9,PREMKUMAR DASHRATH GAJBHARE,Independent,476,4,480,0.22
806,51,UMRED,10,VILAS GANESH ZODAPE,Independent,359,0,359,0.17
807,51,UMRED,11,SANDIP ASHOK KAMBLE,Independent,399,1,400,0.19
808,51,UMRED,12,NOTA,None of the Above,1249,14,1263,0.59
809,52,NAGPUR SOUTH WEST,1,DEVENDRA GANGADHAR FADNAVIS,Bharatiya Janata Party,127726,1675,129401,56.88
810,52,NAGPUR SOUTH WEST,2,PRAFULLA VINODRAO GUDADHE,Indian National Congress,88515,1176,89691,39.43
811,52,NAGPUR SOUTH WEST,3,SURENDRA SHRAVAN DONGRE,Bahujan Samaj Party,2677,40,2717,1.19
812,52,NAGPUR SOUTH WEST,4,USHA MAROTRAO DHOK,Akhil Bhartiya Parivar Party,154,2,156,0.07
813,52,NAGPUR SOUTH WEST,5,OPUL RAMDAS TAMGADGE,Peoples Party of India (Democratic),346,1,347,0.15
814,52,NAGPUR SOUTH WEST,6,ADV. PANKAJ MANIKRAO SHAMBHARKAR,Bhim Sena,81,0,81,0.04
815,52,NAGPUR SOUTH WEST,7,VINAY BHANGE,Vanchit Bahujan  Aaghadi,2710,18,2728,1.2
816,52,NAGPUR SOUTH WEST,8,VINAYAK BHAURAV AVACHAT,Vikas India Party,82,3,85,0.04
817,52,NAGPUR SOUTH WEST,9,NITIN VISHWAS GAIKWAD,Independent,46,4,50,0.02
818,52,NAGPUR SOUTH WEST,10,ADV. MEHMOOD KHAN,Independent,44,2,46,0.02
819,52,NAGPUR SOUTH WEST,11,VINOD TARACHAND MESHRAM,Independent,75,1,76,0.03
820,52,NAGPUR SOUTH WEST,12,SACHIN RAMKRUSHNARAO WAGHADE,Independent,222,2,224,0.1
821,52,NAGPUR SOUTH WEST,13,NOTA,None of the Above,1839,43,1882,0.83
822,53,NAGPUR SOUTH,1,ANUP ANIL DURUGKAR,Maharashtra Navnirman sena,881,14,895,0.39
823,53,NAGPUR SOUTH,2,GIRISH KRISHNARAO PANDAV,Indian National Congress,100194,1674,101868,44.63
824,53,NAGPUR SOUTH,3,MOHAN GOPALRAO MATE,Bharatiya Janata Party,115892,1634,117526,51.48
825,53,NAGPUR SOUTH,4,SANJAY DEORAO SOMKUWAR,Bahujan Samaj Party,1928,42,1970,0.86
826,53,NAGPUR SOUTH,5,KUNAL KISHOR KALBENDE,Desh Janhit Party,71,2,73,0.03
827,53,NAGPUR SOUTH,6,KUNAL PATIL,Bhim Sena,71,2,73,0.03
828,53,NAGPUR SOUTH,7,PROF. DR. PRAMESH KRISHNARAO PISHE,Rashtriya Samaj Paksha,62,1,63,0.03
829,53,NAGPUR SOUTH,8,ER. RAJSHRI ASHOK INGLE,Peoples Party of India (Democratic),78,0,78,0.03
830,53,NAGPUR SOUTH,9,REKHA GONGALE,Republican Party of India (A),41,0,41,0.02
831,53,NAGPUR SOUTH,10,REKHA MANOHAR NIMJE,Jay Vidarbha Party,69,5,74,0.03
832,53,NAGPUR SOUTH,11,ROHIT DINDAYAL ILPACHI,Bharat Adivasi Party,40,1,41,0.02
833,53,NAGPUR SOUTH,12,VISHRANTI PARMESHWAR ZAMBARE,Bahujan Republican  Socialist Party,123,1,124,0.05
834,53,NAGPUR SOUTH,13,SACHIN VIDYAMAN KUMBHARE,Aazad Samaj Party (Kanshi Ram),101,3,104,0.05
835,53,NAGPUR SOUTH,14,SATYABHAMA RAMESH LOKHANDE,Vanchit Bahujan  Aaghadi,1867,23,1890,0.83
836,53,NAGPUR SOUTH,15,SURESH URKUDA BODHI,Ambedkarite Party of India,141,4,145,0.06
837,53,NAGPUR SOUTH,16,AVINASH DEORAOJI KUMBHALKAR,Independent,205,1,206,0.09
838,53,NAGPUR SOUTH,17,AKASH VIJAY UIKEY,Independent,108,3,111,0.05
839,53,NAGPUR SOUTH,18,KETAN NATTHUJI PARKHI,Independent,194,0,194,0.08
840,53,NAGPUR SOUTH,19,DHANANJAY KRISHNAJI DHAPODKAR,Independent,1239,30,1269,0.56
841,53,NAGPUR SOUTH,20,MOHAMMAD MOBIN MOHAMMAD MOHSIN,Independent,108,1,109,0.05
842,53,NAGPUR SOUTH,21,ADV. SACHIN JAGDISH NIMGADE,Independent,80,1,81,0.04
843,53,NAGPUR SOUTH,22,HARSHAL RAMESH GANJARE,Independent,54,1,55,0.02
844,53,NAGPUR SOUTH,23,NOTA,None of the Above,1246,39,1285,0.56
845,54,NAGPUR EAST,1,AJAY TUKARAMJI MARODE,Maharashtra Navnirman sena,2239,22,2261,0.9
846,54,NAGPUR EAST,2,KHOPDE KRISHNA PANCHAM,Bharatiya Janata Party,162491,899,163390,65.23
847,54,NAGPUR EAST,3,DUNESHWAR SURYABHAN PETHE,Nationalist Congress Party- Sharadchandra Pawar,47726,376,48102,19.2
848,54,NAGPUR EAST,4,MUKESH MADHUKAR MESHRAM,Bahujan Samaj Party,4245,54,4299,1.72
849,54,NAGPUR EAST,5,GANESH ISHWARJI HARKANDE,Vanchit Bahujan  Aaghadi,2782,13,2795,1.12
850,54,NAGPUR EAST,6,CHANDAN SHESHRAO BAGADE,Bharatiya Yuva Jan Ekta Party,2644,3,2647,1.06
851,54,NAGPUR EAST,7,TARESH GAJANAN DURUGKAR,Desh Janhit Party,221,2,223,0.09
852,54,NAGPUR EAST,8,NUSHYAN GHANSHYAM HUMANE,Peoples Party of India (Democratic),248,2,250,0.1
853,54,NAGPUR EAST,9,MUKESH DHONDBAJIRAO MASURKAR,Jay Vidarbha Party,1073,23,1096,0.44
854,54,NAGPUR EAST,10,ADVOCATE SHAQIR AGAFAFAR,Bhim Sena,152,3,155,0.06
855,54,NAGPUR EAST,11,ADVOCATE SURAJ BALRAM MISHRA,All India Forward Bloc,244,4,248,0.1
856,54,NAGPUR EAST,12,ABHA BIJJU PANDE,Independent,9338,64,9402,3.75
857,54,NAGPUR EAST,13,ANKUSH TUKARAM BHOWATE,Independent,260,2,262,0.1
858,54,NAGPUR EAST,14,MAHADEO MULCHAND PATLE,Independent,450,1,451,0.18
859,54,NAGPUR EAST,15,VICKY BELKHODE,Independent,705,2,707,0.28
860,54,NAGPUR EAST,16,SONTAKKE PRAKASH,Independent,835,3,838,0.33
861,54,NAGPUR EAST,17,HAJARE PURUSHOTTAM NAGORAO,Independent,11327,32,11359,4.53
862,54,NAGPUR EAST,18,NOTA,None of the Above,1972,33,2005,0.8
863,55,NAGPUR CENTRAL,1,DATKE PRAVIN PRABHAKARRAO,Bharatiya Janata Party,90008,552,90560,46.16
864,55,NAGPUR CENTRAL,2,BUNTY BABA SHELKE,Indian National Congress,78487,441,78928,40.23
865,55,NAGPUR CENTRAL,3,MILIND JAGAN GAJBHIYE,Bahujan Samaj Party,826,14,840,0.43
866,55,NAGPUR CENTRAL,4,ASHISH SHANKARRAO MOHADIKAR,Kunbi Bahujan Sawrajya Party,116,3,119,0.06
867,55,NAGPUR CENTRAL,5,IMRAN HARUN QURESHI,Vikas India Party,51,1,52,0.03
868,55,NAGPUR CENTRAL,6,DHARMENDRA MANDLIK (PARATE),Desh Janhit Party,58,1,59,0.03
869,55,NAGPUR CENTRAL,7,SHIVKALIPRASAD KATARI,Akhil Bhartiya Parivar Party,63,1,64,0.03
870,55,NAGPUR CENTRAL,8,ADVOCATE SURAJ BALRAM MISHRA,All India Forward Bloc,26,0,26,0.01
871,55,NAGPUR CENTRAL,9,SANDEEP MADHUBALA AGARWAL,Bhim Sena,33,0,33,0.02
872,55,NAGPUR CENTRAL,10,ABDUL SUFIYAN SAYYAD,Independent,30,1,31,0.02
873,55,NAGPUR CENTRAL,11,ADV. KAILASH NATTHUJI WAGHMARE,Independent,59,0,59,0.03
874,55,NAGPUR CENTRAL,12,GULAB MANSARAM SAHU,Independent,52,1,53,0.03
875,55,NAGPUR CENTRAL,13,ZULFEQAR AHMAD ANSARI,Independent,224,0,224,0.11
876,55,NAGPUR CENTRAL,14,DHIRAJ BHOJRAJ GAJBHIYE,Independent,106,0,106,0.05
877,55,NAGPUR CENTRAL,15,MUKESH ANEKLAL GANGOTRI,Independent,243,0,243,0.12
878,55,NAGPUR CENTRAL,16,RAMESH GANPATI PUNEKAR,Independent,23221,81,23302,11.88
879,55,NAGPUR CENTRAL,17,RAJKUMAR GAYAPRASAD SHAHU,Independent,310,0,310,0.16
880,55,NAGPUR CENTRAL,18,SHAKEEL KHAN,Independent,216,1,217,0.11
881,55,NAGPUR CENTRAL,19,SAHIL BALCHAND TURKAR,Independent,82,1,83,0.04
882,55,NAGPUR CENTRAL,20,HAJI MOHAMMAD KALAM,Independent,256,4,260,0.13
883,55,NAGPUR CENTRAL,21,NOTA,None of the Above,591,12,603,0.31
884,56,NAGPUR WEST,1,PRAKASH BUDHAJI GAJBHIYE,Bahujan Samaj Party,3423,59,3482,1.59
885,56,NAGPUR WEST,2,VIKAS PANDURANG THAKRE,Indian National Congress,102665,1479,104144,47.45
886,56,NAGPUR WEST,3,SUDHAKAR VITTHALRAO KOHALE,Bharatiya Janata Party,97162,1158,98320,44.8
887,56,NAGPUR WEST,4,ARUN YASHWANTRAO BHAGAT,Jan Janwadi Party,279,1,280,0.13
888,56,NAGPUR WEST,5,GOURKHEDE YASH SUDHAKAR,Vanchit Bahujan  Aaghadi,1456,15,1471,0.67
889,56,NAGPUR WEST,6,NARMADA PREMLAL CHAROTE,Socialist Unity Centre Of India (COMMUNIST),70,0,70,0.03
890,56,NAGPUR WEST,7,NILESH MAHADEO DHOKE,Desh Janhit Party,49,0,49,0.02
891,56,NAGPUR WEST,8,MANOJ RAMDAS GAURKHEDE,Bharatiya Yuva Jan Ekta Party,81,0,81,0.04
892,56,NAGPUR WEST,9,YASHWANT HANUMAN TELANG,Bhim Sena,67,1,68,0.03
893,56,NAGPUR WEST,10,DR. VINOD MAROTI RANGARI,Bahujan Republican  Socialist Party,178,5,183,0.08
894,56,NAGPUR WEST,11,ANIL AWACHITRAO BARDE,Independent,110,1,111,0.05
895,56,NAGPUR WEST,12,ALKA PRASHANT POPATKAR,Independent,91,5,96,0.04
896,56,NAGPUR WEST,13,AADARSH RAVISHANKAR THAKUR,Independent,66,1,67,0.03
897,56,NAGPUR WEST,14,ADV. DHIRAJ SHAMRAO PAZARE,Independent,178,0,178,0.08
898,56,NAGPUR WEST,15,NARENDRA JICHKAR,Independent,8097,69,8166,3.72
899,56,NAGPUR WEST,16,PRAMOD RAGHUNATH BAWANE,Independent,223,2,225,0.1
900,56,NAGPUR WEST,17,RAJA BAIG (HABIB BAIG),Independent,666,4,670,0.31
901,56,NAGPUR WEST,18,VINIL CHOURASIA,Independent,277,0,277,0.13
902,56,NAGPUR WEST,19,SUVAS DIWAKAR RAULKAR,Independent,195,0,195,0.09
903,56,NAGPUR WEST,20,HEMANT BRIJESH PANDE,Independent,80,0,80,0.04
904,56,NAGPUR WEST,21,NOTA,None of the Above,1209,40,1249,0.57
905,57,NAGPUR NORTH,1,DR NITIN KASHINATH RAUT,Indian National Congress,126859,1018,127877,51.02
906,57,NAGPUR NORTH,2,MANOJ DASHRATH SANGOLE,Bahujan Samaj Party,12370,117,12487,4.98
907,57,NAGPUR NORTH,3,DR. MILIND MANE,Bharatiya Janata Party,98937,473,99410,39.66
908,57,NAGPUR NORTH,4,AMOK KHUSHAL NAGRARE,Mera Adhikaar Rashtriya Dal,307,3,310,0.12
909,57,NAGPUR NORTH,5,KUNAL PREMANAND JANBANDHU,Minorities Democratic Party,215,0,215,0.09
910,57,NAGPUR NORTH,6,GIRISH RAKHADU SAHARE,Baliraja Party,43,3,46,0.02
911,57,NAGPUR NORTH,7,GUNWANT HARICHANDRA SOMKUWAR,Bhim Sena,106,2,108,0.04
912,57,NAGPUR NORTH,8,GOURKHEDE PRAGATI INDALKUMAR,Jay Vidarbha Party,164,3,167,0.07
913,57,NAGPUR NORTH,9,CHANDRAKANT PRALHAD RAMTEKE,Republican Paksha (Khoripa),103,0,103,0.04
914,57,NAGPUR NORTH,10,DONGARE KIRTI DEEPAK,All India Majlis-E-Ittehadul Muslimeen,3817,2,3819,1.52
915,57,NAGPUR NORTH,11,ADV. TRISHEEL VIJAY KHOBRAGADE,Ambedkarite Party of India,188,0,188,0.08
916,57,NAGPUR NORTH,12,PANJABRAO GUJARAM MESHRAM,Bahujan Republican  Socialist Party,147,0,147,0.06
917,57,NAGPUR NORTH,13,MURLIDHAR KASHINATH MESHRAM,Vanchit Bahujan  Aaghadi,1214,15,1229,0.49
918,57,NAGPUR NORTH,14,SUDHIR DAYANAND PATIL,Desh Janhit Party,166,0,166,0.07
919,57,NAGPUR NORTH,15,ADVOCATE SANTOSH TULSHIRAM CHAVHAN,Vikas India Party,105,2,107,0.04
920,57,NAGPUR NORTH,16,ATULKUMAR DADA KHOBRAGADE,Independent,918,10,928,0.37
921,57,NAGPUR NORTH,17,ATHANG ANIL KARODE,Independent,896,5,901,0.36
922,57,NAGPUR NORTH,18,ASHOK MAHADEO WAGHMARE,Independent,100,0,100,0.04
923,57,NAGPUR NORTH,19,ADV. ASHWIN VINAYAK JAWADE,Independent,283,0,283,0.11
924,57,NAGPUR NORTH,20,DR. KUNAL VISHWANATH DHOKE,Independent,226,0,226,0.09
925,57,NAGPUR NORTH,21,SUNIL KASHINATH MESHRAM,Independent,59,0,59,0.02
926,57,NAGPUR NORTH,22,RAMESH BABURAO FULE,Independent,114,2,116,0.05
927,57,NAGPUR NORTH,23,VISHWAS CHANDRABHAN PATIL,Independent,110,1,111,0.04
928,57,NAGPUR NORTH,24,SANGHAPAL HARISH UPARE,Independent,270,0,270,0.11
929,57,NAGPUR NORTH,25,SHRIDHAR BHOJRAJ TAGDE,Independent,154,2,156,0.06
930,57,NAGPUR NORTH,26,HARISH CHHOTELAL NAKKE,Independent,110,5,115,0.05
931,57,NAGPUR NORTH,27,NOTA,None of the Above,967,21,988,0.39
932,58,KAMTHI,1,CHANDRASHEKHAR KRUSHNARAO BAWANKULE,Bharatiya Janata Party,174024,955,174979,54.23
933,58,KAMTHI,2,ER. VIKRANT SURENDRA MESHRAM,Bahujan Samaj Party,4467,35,4502,1.4
934,58,KAMTHI,3,SURESH YADAVRAO BHOYAR,Indian National Congress,133098,935,134033,41.54
935,58,KAMTHI,4,AMOL WANKHEDE,Republican Party of India (A),479,4,483,0.15
936,58,KAMTHI,5,JAGDISH ICHAPURI WADIBHASME,Peoples Party of India (Democratic),190,6,196,0.06
937,58,KAMTHI,6,NAFIS ABDUL ALIM SHEIKH,Rashtriya Samaj Paksha,60,1,61,0.02
938,58,KAMTHI,7,NITIN RAMAJI SAHARE,Bhim Sena,132,2,134,0.04
939,58,KAMTHI,8,PRAFUL ANANDRAO MANKE,Vanchit Bahujan  Aaghadi,2760,19,2779,0.86
940,58,KAMTHI,9,PRASHANT ANIL NAKHATE,Jay Vidarbha Party,216,3,219,0.07
941,58,KAMTHI,10,PRASHANT MILIND BANSOD,Aazad Samaj Party (Kanshi Ram),253,1,254,0.08
942,58,KAMTHI,11,VIJAY JAGAN DONGRE,Ambedkarite Party of India,159,0,159,0.05
943,58,KAMTHI,12,NARENDRADATTA JAYRAM GAUR,Independent,170,0,170,0.05
944,58,KAMTHI,13,NAVEED AKHTAR MO. RAFIQ NAVEED,Independent,223,3,226,0.07
945,58,KAMTHI,14,FIROZ AHMAD ANSARI,Independent,620,2,622,0.19
946,58,KAMTHI,15,FAIYYAZ AHAMAD ANSARI,Independent,160,3,163,0.05
947,58,KAMTHI,16,BANTI SHRAVAN ZADAWANE,Independent,882,0,882,0.27
948,58,KAMTHI,17,RAGHUNATH SHALIKRAM SAHARE,Independent,877,0,877,0.27
949,58,KAMTHI,18,SALIM ALAUDDIN ANSARI,Independent,266,1,267,0.08
950,58,KAMTHI,19,SULEMAN ABBAS CHIRAG ALI HAIDERY,Independent,504,0,504,0.16
951,58,KAMTHI,20,NOTA,None of the Above,1147,21,1168,0.36
952,59,RAMTEK,1,ASHISH NANDKISHORE JAISWAL(VAKIL),Shiv Sena,107414,553,107967,52.04
953,59,RAMTEK,2,CHANDRASHEKHAR NAMADE BHIMTE,Bahujan Samaj Party,2539,28,2567,1.24
954,59,RAMTEK,3,VISHAL GANGADHARRAO BARBATE,Shiv Sena (Uddhav Balasaheb Thackeray),5426,75,5501,2.65
955,59,RAMTEK,4,ADV. DR. GOWARDHAN NAMDEO SOMDEVE,All India Forward Bloc,193,1,194,0.09
